m/z,intensity
40.0,2.9
41.0,3.4
42.0,5.7
43.0,0.2
44.0,3.3
49.0,0.9
50.0,8.2
51.0,1.84
52.0,4.1
53.0,0.9
55.0,1.9
57.0,0.12
61.0,1.9
62.0,6.8
63.0,15.4
64.0,0.41
65.0,8.6
66.0,2.6
67.0,1.1
68.0,0.09
69.0,1.9
73.0,4.4
74.0,9.4
75.0,1.88
76.0,12.1
77.0,25.1
78.0,3.9
79.0,0.11
81.0,2.1
82.0,5.1
83.0,1.1
84.0,0.11
85.0,2.1
86.0,5.1
87.0,7.4
88.0,0.58
89.0,19.8
90.0,7.7
91.0,13.9
92.0,0.19
93.0,0.9
94.0,0.9
95.0,1.1
96.0,0.21
97.0,3.7
98.0,4.9
99.0,7.1
100.0,0.51
101.0,3.9
102.0,9.7
103.0,5.9
104.0,0.29
105.0,1.1
107.0,0.9
108.0,0.9
109.0,0.38
110.0,14.9
111.0,11.7
112.0,4.9
113.0,0.07
114.0,6.4
115.0,5.9
116.0,8.7
117.0,1.44
118.0,2.9
120.0,1.9
121.0,1.1
122.0,0.14
123.0,3.9
124.0,6.4
125.0,15.9
126.0,0.96
127.0,10.9
128.0,5.1
129.0,1.9
134.0,0.09
135.0,0.9
136.0,3.9
137.0,5.9
138.0,0.77
139.0,7.1
140.0,4.1
141.0,1.1
142.0,0.14
143.0,0.9
144.0,1.1
146.0,1.1
149.0,0.29
150.0,11.4
151.0,17.4
152.0,17.9
153.0,0.49
154.0,1.9
161.0,1.4
162.0,2.7
163.0,1.71
164.0,11.1
165.0,31.9
166.0,8.7
167.0,0.19
173.0,0.9
175.0,2.1
176.0,3.9
177.0,1.81
178.0,11.4
179.0,8.1
180.0,2.2
181.0,0.19
186.0,1.9
188.0,1.9
189.0,1.1
190.0,0.59
191.0,5.7
192.0,6.4
193.0,11.4
194.0,0.24
199.0,5.1
200.0,1.4
201.0,2.2
202.0,0.12
203.0,1.7
204.0,2.7
205.0,12.4
206.0,0.44
207.0,1.1
212.0,1.5
213.0,5.7
214.0,0.21
215.0,3.1
218.0,1.4
219.0,5.4
220.0,0.31
221.0,17.9
222.0,4.1
226.0,1.7
227.0,0.29
228.0,11.1
229.0,2.9
230.0,3.4
231.0,0.09
233.0,0.9
238.0,3.1
239.0,10.9
240.0,0.49
241.0,15.4
242.0,3.9
243.0,5.1
244.0,0.09
248.0,3.4
249.0,5.7
250.0,0.9
253.0,0.19
254.0,1.7
255.0,60.4
256.0,99.99
257.0,4.89
258.0,38.1
259.0,11.7
260.0,1.9
268.0,0.19
269.0,0.9
270.0,0.9
282.0,2.4
283.0,7.54
284.0,59.9
285.0,34.9
286.0,19.9
287.0,3.9